Wall time,Step,Value
1702908200.0479155,7536640,5.242283805273473e-05
1702908218.853593,7577600,5.9536134358495474e-05
1702908237.5531225,7618560,4.566297502606176e-05
1702908312.5233629,7782400,0.0005442377296276391
1702908331.3500214,7823360,0.00035901961382478476
1702908349.9633973,7864320,0.00019685532606672496
1702908481.1483965,8151040,8.899719250621274e-05
1702908537.6790347,8273920,5.591637091129087e-05
1702908556.5884328,8314880,7.138189539546147e-05
1702908575.253009,8355840,8.2675032899715e-05
1702908594.0489,8396800,7.568817090941593e-05
1702908631.5940201,8478720,4.7029050620039925e-05
1702908669.3951442,8560640,5.3348900109995157e-05
1702908707.0603094,8642560,6.536384898936376e-05
1702908744.4089622,8724480,4.156324212090112e-05
1702908782.3327785,8806400,4.759844523505308e-05
1702908801.0830224,8847360,7.457783067366108e-05
1702908857.2874246,8970240,4.0255195926874876e-05
1702908876.0129495,9011200,4.944162355968729e-05
1702908894.8371046,9052160,3.9721500797895715e-05
1702908913.6399906,9093120,3.4310691262362525e-05
1702908951.3722937,9175040,5.8717043430078775e-05
1702909045.3513927,9379840,7.705585449002683e-05
1702909233.0802205,9789440,8.264651114586741e-05
1702909270.638759,9871360,6.185495294630527e-05
1702909326.6919792,9994240,8.695970609551296e-05
1702909345.4366763,10035200,8.932632044889033e-05
1702909364.2145982,10076160,8.470237662550062e-05
1702909514.4981265,10403840,6.94823611411266e-05
1702909589.2067356,10567680,4.3555686715990305e-05
1702909607.9248385,10608640,5.685752330464311e-05
1702909626.768742,10649600,5.795432298327796e-05
1702909664.2854216,10731520,0.00023255553969647735
1702909814.2820761,11059200,7.05181373632513e-05
1702909833.0261726,11100160,9.512802353128791e-05
1702909888.9728308,11223040,4.2790874431375414e-05
1702909926.5140238,11304960,3.0170271202223375e-05
1702909963.9607987,11386880,4.6516870497725904e-05
1702910001.5455577,11468800,8.624948532087728e-05
1702910039.0713627,11550720,5.4698211897630244e-05
1702910057.7969015,11591680,4.8114732635440305e-05
1702910095.294153,11673600,2.9200264179962687e-05
1702910132.9817176,11755520,2.4034574380493723e-05
1702910151.9207387,11796480,2.8369346182444133e-05
1702910189.673481,11878400,2.0684286937466823e-05
1702910283.7076561,12083200,1.2146137123636436e-05
1702910302.6839573,12124160,1.1768751392082777e-05
1702910321.4364393,12165120,1.1679714589263313e-05
1702910340.3425848,12206080,9.719294212118257e-06
