Wall time,Step,Value
1702923507.2827823,40960000,3.66000896256935e-09
1702923544.733345,41041920,3.66000896256935e-09
1702923582.5146875,41123840,3.66000896256935e-09
1702923601.514383,41164800,3.66000896256935e-09
1702923657.7983577,41287680,3.66000896256935e-09
1702923751.6944022,41492480,6.193811739538257e-13
1702923789.2390733,41574400,6.193811739538257e-13
1702923807.9065309,41615360,6.193811739538257e-13
1702923863.9162152,41738240,6.193811739538257e-13
1702923938.545494,41902080,6.193811739538257e-13
1702924013.840336,42065920,6.193811739538257e-13
1702924051.2291322,42147840,6.193811739538257e-13
1702924088.619546,42229760,6.193811739538257e-13
1702924126.0821562,42311680,6.193811739538257e-13
1702924163.2813756,42393600,6.193811739538257e-13
1702924181.9534009,42434560,6.193811739538257e-13
1702924238.3397365,42557440,6.193811739538257e-13
1702924257.144419,42598400,6.193811739538257e-13
1702924275.9385295,42639360,6.193811739538257e-13
1702924313.670141,42721280,6.193811739538257e-13
1702924407.6425176,42926080,6.193811739538257e-13
1702924445.0150445,43008000,1.4265923715234795e-15
1702924482.569415,43089920,1.4265923715234795e-15
1702924520.209793,43171840,1.4265923715234795e-15
1702924613.5914352,43376640,1.4265923715234795e-15
1702924688.8971035,43540480,1.4265923715234795e-15
1702924726.350362,43622400,1.4265923715234795e-15
1702924745.270866,43663360,1.4265923715234795e-15
1702924857.980698,43909120,1.4265923715234795e-15
1702924876.7158012,43950080,1.4265923715234795e-15
1702924895.4629478,43991040,1.4265923715234795e-15
1702924914.400582,44032000,1.4265923715234795e-15
1702924933.2475045,44072960,1.4265923715234795e-15
1702925008.158069,44236800,1.4265923715234795e-15
1702925064.4426496,44359680,1.4265923715234795e-15
1702925177.035079,44605440,1.4695176719497225e-15
1702925251.8932707,44769280,1.4695176719497225e-15
1702925289.5116856,44851200,1.4695176719497225e-15
1702925308.0178883,44892160,1.4695176719497225e-15
1702925326.7700217,44933120,1.4695176719497225e-15
1702925364.2261562,45015040,1.4695176719497225e-15
1702925420.4078367,45137920,1.4695176719497225e-15
1702925457.7019444,45219840,1.4695176719497225e-15
1702925495.440112,45301760,1.4695176719497225e-15
1702925514.4358017,45342720,1.4695176719497225e-15
1702925533.1902897,45383680,1.4695176719497225e-15
1702925551.8665428,45424640,1.4695176719497225e-15
1702925570.639826,45465600,1.4695176719497225e-15
1702925589.441783,45506560,1.4695176719497225e-15
1702925646.021105,45629440,1.4695176719497225e-15
1702925664.584903,45670400,1.4695176719497225e-15
1702925702.2215605,45752320,1.4695176719497225e-15
1702925720.8554435,45793280,1.4695176719497225e-15
